scores
-441.0
-421.0
-451.0
-457.0
-444.0
-447.0
-440.0
-431.0
-447.0
-458.0
-448.0
-275.0
-427.0
-146.0
-162.0
-153.0
-80.0
-449.0
-165.0
-143.0
-346.0
-276.0
-262.0
-63.0
-113.0
-111.0
-354.0
-24.0
-331.0
-257.0
414.0
857.0
-437.0
-268.0
-79.0
-275.0
-294.0
-421.0
-106.0
-430.0
-63.0
1165.0
966.0
-361.0
-368.0
957.0
-426.0
-421.0
-430.0
-426.0
-40.0
-446.0
-294.0
-332.0
-334.0
-263.0
-18.0
961.0
-493.0
-501.0
-60.0
-389.0
-414.0
-363.0
-191.0
-375.0
-419.0
-276.0
-75.0
-147.0
-286.0
-220.0
-237.0
-263.0
-173.0
-156.0
-272.0
-440.0
-432.0
93.0
-367.0
-341.0
-397.0
-54.0
-126.0
-67.0
-291.0
-145.0
-259.0
-400.0
-223.0
-379.0
-404.0
-301.0
-253.0
939.0
-255.0
183.0
-270.0
133.0
-237.0
-215.0
-446.0
-457.0
-333.0
-144.0
951.0
-377.0
-304.0
-210.0
-191.0
63.0
-353.0
-351.0
-234.0
-308.0
-389.0
-87.0
-311.0
-90.0
-450.0
-303.0
-83.0
932.0
969.0
-420.0
-413.0
-385.0
-317.0
-131.0
-182.0
-310.0
24.0
-363.0
-368.0
-369.0
-440.0
-420.0
143.0
-303.0
-397.0
-162.0
-288.0
928.0
-410.0
-322.0
-378.0
-407.0
-448.0
-262.0
-330.0
-176.0
-337.0
-358.0
-284.0
-301.0
-372.0
-269.0
-328.0
-317.0
-293.0
-333.0
-390.0
-285.0
-265.0
-430.0
-262.0
927.0
-380.0
-241.0
39.0
-317.0
-382.0
-356.0
-271.0
-438.0
-330.0
-362.0
-326.0
-325.0
28.0
-417.0
-256.0
99.0
-387.0
957.0
-233.0
-444.0
-212.0
-208.0
-409.0
-353.0
-245.0
-184.0
-470.0
-124.0
-219.0
-423.0
-395.0
-196.0
-40.0
797.0
-367.0
-394.0
-391.0
-394.0
956.0
-128.0
68.0
856.0
-467.0
-457.0
-446.0
-445.0
942.0
-475.0
-459.0
-376.0
-352.0
-442.0
-323.0
-345.0
-212.0
-347.0
-421.0
57.0
-402.0
-209.0
956.0
-312.0
1149.0
-460.0
-53.0
-361.0
-246.0
-456.0
-334.0
-331.0
-349.0
-340.0
-104.0
-196.0
-84.0
-52.0
-252.0
-260.0
-458.0
-424.0
38.0
-307.0
-252.0
-397.0
1150.0
-158.0
-401.0
-221.0
941.0
-278.0
948.0
-373.0
-405.0
-383.0
-433.0
-423.0
-176.0
-383.0
-373.0
-336.0
-353.0
-78.0
-227.0
-446.0
-94.0
-248.0
-124.0
-107.0
-300.0
-353.0
-364.0
-184.0
-459.0
-297.0
-165.0
-152.0
-250.0
-195.0
-295.0
-399.0
-448.0
922.0
-490.0
-498.0
-310.0
-173.0
-227.0
63.0
916.0
-470.0
-495.0
-347.0
-296.0
-217.0
-60.0
959.0
-367.0
-21.0
-196.0
1158.0
-144.0
-206.0
-86.0
-351.0
-377.0
-355.0
-202.0
12.0
-165.0
-58.0
-248.0
-325.0
-292.0
-143.0
961.0
-379.0
-334.0
-392.0
-347.0
-154.0
-374.0
-268.0
-379.0
147.0
-375.0
-447.0
-214.0
-354.0
-107.0
-298.0
-351.0
-268.0
56.0
945.0
-89.0
-456.0
951.0
-410.0
-345.0
-185.0
-269.0
-339.0
-185.0
-315.0
-340.0
-366.0
139.0
-236.0
-191.0
-81.0
968.0
-433.0
-419.0
-280.0
-451.0
-178.0
-90.0
953.0
-433.0
-457.0
-223.0
957.0
-117.0
-404.0
-428.0
-335.0
-215.0
-340.0
-386.0
-357.0
-235.0
-239.0
377.0
-349.0
-344.0
-50.0
-182.0
-202.0
-367.0
-6.0
-211.0
-352.0
-265.0
-201.0
-301.0
56.0
-367.0
289.0
-343.0
-302.0
-345.0
-391.0
-339.0
-344.0
1133.0
-293.0
-274.0
-336.0
-280.0
-161.0
943.0
-378.0
-313.0
-327.0
-292.0
-247.0
241.0
32.0
-86.0
-264.0
-88.0
-347.0
-283.0
963.0
-306.0
-284.0
-378.0
-291.0
-72.0
949.0
-269.0
-393.0
-294.0
-277.0
-88.0
-151.0
-87.0
963.0
-319.0
4.0
-248.0
-353.0
-410.0
-358.0
-447.0
-351.0
-279.0
-354.0
-410.0
-19.0
962.0
-54.0
-320.0
-64.0
-503.0
-421.0
-129.0
-424.0
-376.0
-332.0
-410.0
-112.0
-410.0
-264.0
-263.0
-256.0
-267.0
-267.0
-76.0
-180.0
-263.0
-338.0
63.0
-172.0
-134.0
-346.0
936.0
-211.0
-316.0
-338.0
-460.0
820.0
-343.0
-353.0
-186.0
-365.0
-347.0
-344.0
-381.0
-186.0
-111.0
-390.0
956.0
-433.0
-44.0
-353.0
-221.0
-353.0
-38.0
-405.0
-334.0
-375.0
