,min_dist_power,has_power_pill,has_pill,num_pill,min_dist_pill,num_ghosts,edibleGhost,dist_edibleGhost,dist_next_ghosts,bias
0,0.02659455334307196,0.0,0.6280575419510008,27.427842964045954,0.004484024171246216,1.2555267679489406,0.0,-0.004484024171246216,0.03886280737978481,0.6277633839744703
1,0.03803968166953568,0.0,0.8265240142706821,40.059548523049855,0.004805058772297358,1.7192335204127525,0.0,-0.0061401197157598345,0.06030799777085729,0.8596167602063762
2,0.018228704321208017,0.0,0.363832377577643,15.981335547614227,0.001500118510204222,0.7938502470266742,0.0,-0.002835179453666699,0.04021767237833285,0.3969251235133371
3,0.006043425586138495,0.0,0.08824337342840513,1.5361769737621227,-0.00046837437657604826,0.24267223872819849,0.0,-0.0008666865668864286,0.026770567084912152,0.12133611936409924
4,-0.017165869988028458,0.0,-0.0025856147477310645,-27.133701964641382,-0.006064036531444456,-0.8887326431565595,0.0,0.003174045154130564,-0.015375753586722067,-0.44436632157827977
5,-0.12002237162701782,0.0,-0.14412310741471465,-144.03675962611803,-0.02771957095609637,-5.282922229914238,0.0,0.01886757939255084,-0.12559736289327128,-2.641461114957119
6,-0.13405956876558162,0.0,-0.21398082746050506,-161.3991779728394,-0.025536872323906813,-5.904471806916991,0.0,0.021087399310417813,-0.16064423400137356,-2.9522359034584955
7,-0.16479796467805358,0.0,-0.21398082746050506,-191.26048696636937,-0.023568279982651694,-6.980315663853511,0.0,0.024929698799476808,-0.20168765112939258,-3.4901578319267554
8,-0.19917921336065517,0.0,-0.36312250041792316,-222.21244490801882,-0.027642726579039555,-8.121160710842108,0.0,0.029004145395864666,-0.2753648883692272,-4.060580355421054
9,-0.23768658823614386,0.0,-0.5381687222804877,-265.2481322078878,-0.0264418754193646,-9.677166115316957,0.0,0.034561307554703415,-0.3721315750237027,-4.838583057658479
10,-0.24196792210994653,0.0,-0.5381687222804877,-272.75396297159074,-0.02422700654199625,-9.952014547756079,0.0,0.03554290909912885,-0.40285398699737307,-4.976007273878039
11,-0.2342462202430599,0.0,-0.7869665953261843,-258.3704806468847,-0.028538521443948483,-9.390464431876934,0.0,0.03353737297098904,-0.38244285292757246,-4.695232215938467
