learningrate,numtestes,numtreinos,avgtestes,avgtreinos,winrate,exectime
0.001,5,95,2894.0,2502,1.0,257.12104063000004
0.01,5,95,1160.4,2448,0.6,348.802084849
0.1,5,95,-1092.6,-178,0.0,426.93343657
0.001,50,950,2633.48,2452,0.84,2324.383839877
0.01,50,950,654.86,1485,0.02,2255.723465154
0.1,50,950,-61.24,-312,0.0,3559.310112618
0.001,250,4750,1944.196,2263,0.62,9392.207831981
0.01,250,4750,1306.58,1053,0.25,8055.935406842999
0.1,250,4750,1635.816,-377,0.33,10924.679933156
